go,ごー
ready,れでぃ
high,はい
everybody,えぶりばでぃ
vibes,ばいぶす
riders,らいだーず
nice,ないす
hi,はい
time,たいむ
dive,だいぶ
wave,うぇいぶ
big,びっぐ
for,ふぉー
it,いっと
a,あ
aha,あは
all,おーる
amp,あんぷ
and,あんど
another,あなざー
are,あー
babylon,ばびろん
bass,ばす
batty,ばってぃ
be,びー
beat,びーと
beer,びあー
blast,ぶらすと
blazing,ぶれいじんぐ
blue,ぶるー
bombo,ぼむ
boom,ぶーむ
bottom,ぼとむ
boy,ぼーい
brake,ぶれーく
brazing,ぶれいじんぐ
brethren,ぶれすれん
call,こーる
change,ちぇんじ
claat,くらーと
crazy,くれいじー
crew,くるー
dancehall,だんすほーる
de,で
deejay,でぃーじぇい
dem,でむ
do,どぅー
dopa,どーぱ
dynamite,だいなまいと
everything,えぶりしんぐ
fight,ふぁいと
fire,ふぁいあー
free,ふりー
freedom,ふりーだむ
frenzy,ふれんじー
gate,げーと
get,げっと
gonna,ごな
good,ぐっど
groovin,ぐるーびん
gun,がん
hankun,はんくん
hardway,はーどうぇい
heart,はーと
heat,ひーと
heeehaaa,ひーはー
hero,ひーろー
hey,へい
hurry,はりー
i,あい
in,いん
is,いず
japanese,じゃぱにーず
jump,じゃんぷ
just,じゃすと
lady,れでぃ
lie,らい
life,らいふ
line,らいん
memory,めもりー
mia,みあ
more,もあ
morning,もーにんぐ
movement,むーぶめんと
musical,みゅーじかる
my,まい
need,にーど
no,のー
oh,おー
old,おーるど
on,おん
party,ぱーてぃ
pass,ぱす
phata,ふぁーた
place,ぷれいす
power,ぱわー
pride,ぷらいど
r,あーる
raggamuffin,らがまふぃん
real,りある
reggae,れげえ
ride,らいど
right,らいと
rock,ろっく
run,らん
s,えす
say,せい
shake,しぇいく
she,しー
shotta,しょった
sky,すかい
slow,すろー
so,そー
stage,すてーじ
super,すーぱー
teacher,てぃーちゃー
teaser,てぃーさー
tell,てる
the,ざ
thing,しんぐ
this,でぃす
to,とぅー
top,とっぷ
town,たうん
tune,ちゅーん
untill,あんてぃる
up,あっぷ
walker,うぉーかー
way,うぇい
wi,わい
wiago,うぃあご
world,わーるど
wow,うぉう
ya,やー
you,ゆー
your,ゆあ
yu,ゆ
aa,あ
aaa,ああ
aaaai,ああああい
aala,ああら
ab,えーびー
abc,えーびーしー
abdicate,あぶでぃけいと
abdication,あぶでぃけいしょん
able,えいぶる
aboard,あぶろーど
about,あばうと
above,あばぶ
abuse,あびゅーず
accelerate,あくせられーと
acceleration,あくせられーしょん
accept,あくせぷと
accepted,あくせぷてっど
accepting,あくせぷてぃんぐ
access,あくせす
acclaim,あくれいむ
across,あくろす
act,あくと
action,あくしょん
actions,あくしょんず
addistion,あでぃすしょん
advantage,あどばんてーじ
adversity,あどばーさりー
advice,あどばいす
aekai,いーかい
affair,あふぇあー
afghan,あふがん
afraid,あふれいど
africa,あふりか
after,あふたー
again,あげいん
against,あげいんすと
age,えいじ
agree,あぐりー
ah,あー
ahead,あへっど
ahha,あは
ai,あい
aia,あじゃ
aight,えいと
ailed,えいるど
ain,あいん
aina,あいな
air,えあー
airplane,えあぷれーん
airwaves,えあうぇいぶす
aka,あか
alive,あらいぶ
alla,あらいぶ
allright,おーらい
aloha,あろは
alohi,あろひ
alone,あろーん
along,あろんぐ
alright,おーらい
alternative,おるたなてぃぶ
always,おーるうぇいず
am,あむ
amaze,あめいず
amazing,あめいじんぐ
ambitious,あんびしゃす
america,あめりか
amid,あみっど
amidst,あみっどすと
among,あもんぐ
ampbucci,あんぷぐっち
ampklutch,あんぷくつっち
amptenn,あんぷてん
an,あんびしゃす
ana,あな
ancestry,あんせとりー
angel,えんじぇる
angry,あんぐりー
animal,あにまる
anniversary,あにばーさりー
annoyed,あのいど
anonymity,あのいみてぃ
answer,あんさー
anuenue,あぬえぬえ
anxiety,あんぐざえてぃ
any,えにー
anyone,えにわん
anything,えにしんぐ
anytime,えにたいむ
anyway,えにうぇい
apathy,あぱしー
apologized,あぽろじゃいずど
april,えいぷりる
area,えりあ
ark,あーく
around,あらうんど
arrive,あらいぶ
art,あーと
artificial,あーてぃふぃしゃる
as,あず
asia,あじあ
asian,あじあん
ask,あすく
askin,あすきん
at,あっと
attack,あたっく
attacks,あたっくす
attaining,あていん
attracted,あとらくてっど
authem,おうせむ
av,えーヴぃー
awareness,あうぇあねす
away,あうぇい
awaystray,あうぇいすとれい
awoken,あうぉーくん
ay,あい
b,びー
babe,べいぶ
baby,べいびー
babys,べいびーず
back,ばっく
backfires,ばっくふぁいあず
backka,ばっか
bad,ばっど
badda,ばっだ
badman,ばっどまん
badmind,ばっどまいんど
bags,ばぐす
ban,ばん
bang,ばん
bar,ばー
barbeque,ばーべきゅー
bare,べあ
bars,ばーず
bashment,ばっしゅめんと
bassquot,ばすこー
battle,ばとる
bboy,びーぼーい
beach,びーち
beats,びーつ
beautiful,びゅーてぃふる
beauty,びゅーてぃー
because,びこーず
become,びかむ
been,びーん
beenie,びーにー
beerbeer,びあーびあー
before,びふぉあ
begin,びぎん
begun,びがん
bein,びーいん
being,びーいん
believe,びりーぶ
believers,びりーばーず
believin,びりーびん
belive,びりーぶ
belong,びろんぐ
beneath,びにーす
benefit,べねふぃっと
best,べすと
bet,べっと
better,べたー
between,びっとうぃーん
beyond,びよんど
bgm,びーじーえむ
biggest,びっげすと
bikini,びきに
birds,ばーず
birth,ばーす
birthday,ばーすでい
births,ばーす
bitch,びっち
black,ぶらっく
blame,ぶれいむ
blaming,ぶれいみんぐ
blane,ぶれーん
blatant,ぶれいてんと
blaze,ぶれいず
blazin,ぶらじん
blend,ぶれんど
blending,ぶれんでぃんぐ
blind,ぶらいんど
bling,ぶらいんど
blink,ぶりんく
block,ぶろっく
blood,ぶらっど
blows,ぶろーず
bluesky,ぶるーすかい
bob,ぼぶ
boby,ぼびー
bodies,ぼでぃず
body,ぼでぃず
bodybody,ぼでぃぼでぃ
bold,ぼーるど
bomb,ぼむ
bomber,ぼんばー
bomberquot,ぼんばーくおっと
bombom,ぼんぼん
bonafide,ぼなふぁいど
bond,ぼんど
boo,ぶー
booby,ぶーびー
boogie,ぶぎー
booing,ぶーいん
border,ぼーだー
borderline,ぼーだーらいん
born,ぼーん
both,ぼーす
bounce,ばうんす
bounty,ばうんてぃ
bowl,ぼうる
box,ぼっくす
boys,ぼーいず
boysoh,ぼーいそー
bpm,びーぴーえむ
bq,びーじーえむ
brahquot,ぶらこーと
brain,ぶれいん
branbran,ぶらんどらん
brand,ぶらんどらん
brandnew,ぶらんにゅー
brave,ぶれいぶ
bravely,ぶれいびー
break,ぶれーく
breakdown,ぶれーくだうん
breath,ぶれす
breathing,ぶりーじん
breeze,ぶりーず
bright,ぐらいと
brightens,ぶらいとねす
bring,ぶりんぐ
bringin,ぶりんぎん
bringing,ぶりんぎん
brings,ぶりんぐす
broadcasting,ぶろーどきゃすてぃんぐ
broke,ぶろーく
broken,ぶろーくん
brother,ぶらざー
brought,ぶろうと
brown,ぶらうん
brush,ぶらっしゅ
bucc,ぶっく
bucci,ぶっき
bucciamp,ぶっきあんぷ
bucciampklutch,ぶっきあんぷらっち
build,びるど
built,びると
bujubanton,ぶじゅばんとん
bullish,ぶりっしゅ
bump,ばんぷ
bumping,ばんぴん
bun,ばん
bungalow,ばんがろー
buon,ぶおん
burin,ぶりんぎん
burn,ばーん
burning,ばーにん
buss,ばすこー
but,ばっと
butterfly,ばたふらい
buy,ばい
bwh,ぶー
by,ばい
bye,ばい
byebyebye,ばいばいばい
c,しー
caan,かーん
cah,かーん
calling,こーりん
calm,こーむ
came,けいむ
camera,かめら
can,きゃん
candle,きゃんどる
candy,きゃんでぃ
cannot,きゃのっと
cantare,かんたーれ
cap,きゃっぷ
cappesh,きゃっぺっしゅ
care,けあ
caring,けありん
carpe,かーぷ
carry,きゃりー
cars,かーず
case,けーす
cases,けーしーず
cast,きゃすと
catch,きゃっち
catching,きゃっちん
caught,こーと
cause,こーず
cc,しーしー
cd,しーでぃー
cdj,しーでぃーじぇい
celebrate,せれぶれいと
center,せんたー
cha,ちゃ
champ,ちゃんぷ
champion,ちゃんぴおん
chance,ちゃんす
changed,ちぇんじど
check,ちぇっく
cherish,ちぇりっしゅ
child,ちゃいるど
children,ちるどれん
chill,ちり
chillax,ちりあっくす
chilling,ちりん
chimpanzee,ちんぱんじー
choice,ちょいす
choose,ちゅーず
chords,こーず
christ,くらいすと
christmas,くりすます
circular,さーきゅらー
city,してぃ
clap,くらっぷ
class,くらす
classical,くらしかる
clean,くりーん
clear,くりあー
clearing,くりーにん
clearly,くりありー
climb,くらいむ
close,くろーず
closemindedness,くろーずまいんどねす
clottin,くろーてぃん
clouds,くらうず
clover,くろーばー
club,くらぶ
clubrapdanceeventparty,くらぶらっぷだんすぱーてぃ
cm,しーえむ
co,しーおー
coaster,こーすたー
coin,こいん
cold,こーるど
combinin,こんばいにん
come,かむ
comeon,かもん
comes,かむず
comin,かみん
coming,かみん
commin,かみん
communication,こみゅにけーしょん
compile,こんぱいる
complain,こんぷれいん
complaining,こんぷれいん
complaints,こんぷれいんつ
completely,こんぷりーとりー
complexity,こんぷれきしてぃ
compliment,こんぷらいめんと
con,こんばいにん
concrete,こんくりーと
condition,こんでぃしょん
conduct,こんだくと
confidence,こんふぃでんす
connect,こねくと
connected,こねくてっど
conscious,こんしゃす
consciousness,こんしゃすねす
consolidation,こんそりでーしょん
constructive,こんすとらくてぃぶ
continue,こんてぃにゅー
continued,こんてぃにゅーど
continues,こんてぃにゅーす
continuing,こんてぃにゅいん
contradiction,こんとらでぃくしょん
control,こんとろーる
contusion,こんてゅーしょん
converse,こんばーす
cool,くーる
cope,こーぷ
core,こあ
correctly,これくとりー
corrupt,こらぷと
costume,こすちゅーむ
could,くっど
count,かうんと
cousin,かずん
crack,くらっく
crash,くらっしゅ
craziness,くれいじねす
creating,くりえいてぃん
creation,くりえいしょん
creativity,くりえいてぃびてぃ
cris,くらいすと
cross,くろす
crowd,くらうど
crown,くらうん
cruel,くるーえる
cruisin,くるーしん
crumbling,くらんぶりん
cruzin,くるーじん
cry,くらいすと
crying,くらいん
crystal,くりすたる
culture,かるちゃー
cut,かっと
cuts,かっつ
cuz,こず
cycle,さいくる
d,でぃー
da,だ
dad,だっど
daddy,だでぃ
dagg,だぐ
daizo,だいぞ
damage,だめーじ
damashi,だまし
damian,だみあん
damn,だむ
dan,だん
dance,だんす
dancin,だんしん
dancing,だんしん
dandy,だんでぃ
danger,でんじゃー
dangerous,でんじゃらす
dare,であ
dark,だーく
darkness,だーくねす
darlin,だーりん
dat,だっと
dawn,どーん
day,でぃー
days,でいず
dead,でっど
deal,でぃーる
dear,でぃあ
death,です
dedicate,ででぃけいと
dedication,ででぃけいしょん
dee,でぃー
deep,でぃーぷ
def,でふ
degree,でぃぐりー
delay,でぃれい
delicious,でりしゃす
delight,でぃらいと
delve,でるぶ
den,でんじゃらす
depths,でぷす
dereliction,でありくしょん
describe,ですくらいぶ
desire,でざいあ
despair,ですぺあ
destiny,ですてぃにー
destroy,ですとろい
destroys,ですとろいず
dethronement,ですろにめんと
deux,であ
di,でぃ
diem,でいむ
differences,でぃふぁれんしず
dig,でぃぐりー
directly,でぃれくとり
dirty,だーてぃー
disagree,でぃすあぐりー
disasters,でぃすたーず
disco,でぃすこ
discover,でぃすかばー
discrimination,でぃすくりみねーしょん
disgrace,でぃすぐらんす
dismay,でぃすめい
display,でぃすぷれい
divide,でぃばいど
divine,でぃばいん
dj,でぃーじぇい
djkohno,でぃーじぇいこうの
dna,でぃーえぬえー
does,だず
doesn,だずん
dog,どっぐ
doin,どぅーいん
doing,どぅーいん
don,どん
dondada,どんだだ
done,だん
door,どあー
doors,どあーず
dostayin,どぅーすていん
dot,どっと
doubt,だうと
down,だうん
downtown,だうんたうん
drains,どれいんず
drama,どらま
dream,どりーむ
dreamer,どりーまー
dreams,どりーむず
drinking,どりんきん
drive,どらいぶ
drivin,どらいびん
driving,どらいびん
drop,どろっぷ
drown,どろうん
drum,どらむ
dry,どらいびん
dt,でぃーてぃー
duality,でゅありてぃ
dub,だぶ
duck,だっく
due,でゅー
dun,どうん
dusk,だすく
dust,だすと
duty,でゅーてぃー
dvd,でぃーぶいでぃー
dwell,どうぇる
dying,どらいん
e,いー
ea,いーえー
each,いーち
eady,えでぃ
eah,あー
ear,いあー
early,あーりー
earth,あーす
earthquake,あーすくえいく
east,いーすと
easy,いーじー
eat,いーと
eating,いーてぃん
ecup,いーかっぷ
edo,えど
eeee,ええええ
eel,いーる
eep,いーぷ
effect,えふぇくと
ego,えご
ehh,えー
ei,えい
eia,えいあ
either,いーざー
elephant,えれふぁんと
elevating,えれーびん
elitism,えりぃてぃずむ
else,えるす
em,えむ
embrace,えんぶれーす
embracing,えんぶれーしん
emergency,えまーじぇんしー
emi,いーえむあい
emotion,えもーしょん
emotions,えもーしょんず
encouraging,えんかれっじん
end,えんど
endless,えんどれす
endlessyeah,えんどれすいやー
ends,えんず
enemy,えねみー
energized,えなじゃいずど
energy,えなじー
engineer,えんじにあ
enjoy,えんじょい
enjoying,えんじょいん
enjoyment,えんじょいめんと
enough,いなふ
enter,えんたー
entered,えんたーど
entertainer,えんたーていなー
entice,えんてぃす
enticing,えんてぃしん
entropy,えんとろぴー
entry,えんとりー
era,いら
escape,えすけーぷ
et,えっと
eternal,えたーなる
even,いーぶん
eventually,いべんちゅありー
ever,えばー
every,えぶりー
everyday,えぶりでい
everynight,えぶりない
everyone,えぶりわん
everytime,えぶりたいむ
everyway,えぶりうぇい
everywhere,えぶりうぇあ
evolution,えぼりゅーしょん
evolutionary,えぼりゅーしょなりー
exact,いぐざくと
exactly,いぐざくとりー
excel,えくせる
excitement,えきさいとめんと
excuse,えくすきゅーず
existence,いぐじすてんす
expand,えくすぱんど
experience,えくすぺりえんす
explore,えくすぷろあ
expressed,えくすぷれすど
extend,えくすてんど
extreme,えくすとりーむ
eye,あい
eyes,あいず
ez,えず
f,えふぇくと
face,ふぇいす
faceless,ふぇいすれす
faces,ふぇいしーず
facewash,ふぇいすうぉっしゅ
fact,ふぁくと
fade,ふぇいど
fagamafin,ふぁぐまふぃん
fake,ふぇいく
falco,ふぇいこ
fall,ふぉーる
falla,ふぁら
fallin,ふぉーりん
falseness,ふぁるすねす
fam,ふぁむ
fame,ふぇいむ
families,ふぁみりーず
family,ふぁみりーず
fan,ふぁん
fancy,ふぁんしー
fantasy,ふぁんたじー
far,ふぁー
fashion,ふぁっしょん
fast,ふぁすと
fastbreak,ふぁすとぶれっく
fat,ふぁっと
fate,ふぇいと
father,ふぁーざー
fear,ふぃあー
fearlike,ふぃあーらいく
fears,ふぃあーず
feel,ふぃーる
feelin,ふぃーりん
feeling,ふぃーりん
feelings,ふぃーりん
feels,ふぃーるず
feet,ふぃーと
fell,ふぇーる
fellas,ふぇーらす
felt,ふぇると
fest,ふぇすと
fever,ふぇーばー
fi,ふぃーと
field,ふぃーるど
fiendin,ふぃえんでぃん
fighting,ふぁいてぃん
fightquot,ふぁいと
filled,ふぃるど
finale,ふぃねーる
finally,ふぁいなりー
find,ふぁいんど
finger,ふぃんがー
fireworks,ふぁいあわーくす
first,ふぁーすと
five,ふぁいぶ
flag,ふらっぐ
flame,ふれいむ
flat,ふらっと
flava,ふらーば
flavor,ふれいばー
flee,ふりー
flew,ふるー
flight,ふらいと
flipped,ふりっぷど
float,ふろーと
floatin,ふろーてぃん
floating,ふろーてぃん
floods,ふらっず
floor,ふろあ
flow,ふろーてぃん
flowin,ふろーいん
flowing,ふをーいん
flows,ふろーず
fly,ふらいと
flying,ふらいん
fold,ふぉーるど
follow,ふぉろー
fools,ふぉーるず
force,ふぉーす
forever,ふぉーえばー
foreverlike,ふぉーえばーらいど
forget,ふぉーげっと
forgive,ふぉーぎぶ
forgiveness,ふぉーぎぶねす
forgotten,ふぉーごってん
forth,ふぉーす
forward,ふぉわーど
fought,ふぉーと
four,ふぉーえばー
freely,ふりーりー
freeze,ふりーず
fresh,ふれっしゅ
friday,ふらいでぃ
friend,ふれんど
friendbrother,ふれんどぶらざー
frienden,ふれんど
friends,ふれんず
friendship,ふれんどしっぷ
frightening,ふらいとにん
from,ふろむ
front,ふろんと
frown,ふらうん
fruit,ふるーと
ft,ふぃーと
fuck,ふぁっく
fulfill,ふるふぃる
full,ふるふぃる
fully,ふりー
fun,ふぁん
funky,ふぁんきー
fuss,ふぁす
future,ふゅーちゃー
futurequot,ふゅーちゃー
fuu,ふゅーちゃー
g,じー
gain,げいん
gal,がる
gamble,ぎゃんぶる
gambler,ぎゃんぶらー
game,げーむ
gameover,げーむおーばー
games,げーむず
gangsta,ぎゃんぐすたー
gather,ぎゃざー
gatta,がった
gave,げいぶ
gaze,げいず
generation,じぇねれーしょん
gents,じぇんつ
gero,げろ
geronimo,じぇろにも
gets,げっつ
getting,げってぃん
gifts,ぎふつ
gime,がいむ
gimi,じみ
gimme,じめ
giorno,ぎおーの
girl,がーる
girlho,がーる
girlies,がーりーず
girls,がーるず
give,ぎぶ
gives,ぎぶず
givin,ぎびん
glanced,ぐらんすど
goal,ごーる
god,ごっど
goes,ごーず
goin,ごーいん
going,ごーいん
gold,ごーるど
gonaa,ごな
gone,ごーん
gonerator,ごねれーたー
goo,ぐー
goodbye,ぐっばい
got,ごっと
gotsta,ごすた
gotta,ごった
grab,ぐらぶ
grace,ぐれーす
gracias,ぐらしゃす
grade,ぐれーど
great,ぐれーと
greatest,ぐれーてすと
greeeen,ぐりーん
greetings,ぐりーてぃんぐす
grew,ぐるー
grey,ぐれーす
grief,ぐりーふ
grievances,ぐりーヴぁんすず
groov,ぐるーぶ
groove,ぐるーぶ
grooving,ぐるーびん
groovy,ぐるーびー
groovyall,ぐるーびーおーる
groovycome,ぐるーびーかむ
groovygood,ぐるーびーぐっど
groovyhey,ぐるーびーへい
gross,ぐろす
ground,ぐらうんど
grow,ぐろー
growing,ぐろーいん
growth,ぐろーす
gt,じーてぃー
guitar,ぎたー
gunman,がんまん
gunpowder,がんぱわー
guns,がんず
guy,がいむ
guys,がいず
gyal,げいる
h,えっち
ha,は
had,はど
hafi,はふぃ
hair,へあ
halala,はらら
hall,ほーる
halloween,はろうぃーん
hammer,はんまー
hand,はんど
handle,はんどる
hands,はんず
hang,はんぐ
hanging,はんぎん
happen,はぷん
happened,はぷんど
happens,はぷんず
happiness,はぴねす
happy,はっぴー
hard,はーど
hardcore,はーどこあ
harmony,はーもにー
has,はず
hat,はっと
hate,へいと
hateful,へいとふる
have,はぶ
haven,はぶん
havin,はびん
hawai,はわい
hawaii,はわい
hawaiians,はわいあんず
he,ひー
head,へっど
headed,へっでぃど
heal,ひーる
health,へるす
hear,ひあー
heard,はーど
heartbeat,はーとびーと
hearted,はーてっど
hearts,はーつ
heaven,へぶん
heavy,へびー
heed,ひーど
held,へるど
hell,へるす
hello,はろー
help,へるぷ
helps,へるぷす
her,はーつ
here,ひあ
herequot,ひあ
heroes,ひーろーず
heyboy,へいぼーい
heygirl,へいがーる
heyhey,へいへい
heyo,へいお
hide,はいど
higher,はいあー
highs,はいず
hight,はいと
highway,はいうぇい
hip,ひっぷ
hiphop,ひっぷほっぷ
his,ひず
history,ひすとりー
hit,ひっと
hitting,ひってぃん
hiwa,ひわ
hlala,ふらら
ho,ほーる
hoho,ほほ
hohoho,ほほほ
hola,ほら
hold,ほーるど
holding,ほーるでぃん
holds,ほーるず
hole,ほーる
holiday,ほりでぃ
holly,ほーりー
holy,ほりー
home,ほーむ
homey,ほーみー
homie,ほーみー
honey,はにー
honeydew,はにでゅー
honor,おーなー
honored,おーなーど
hoo,ほーみー
hood,ほーど
hook,ほっく
hoooo,ほーど
hooray,ほーれい
hop,ほっぷ
hope,ほーぷ
hoping,ほっぴん
horizon,ほらいずん
hot,ほっと
hotness,ほっとねす
hou,ほう
house,はうす
how,はうす
hug,はぐ
huh,はーつ
hui,ふい
human,ひゅーまん
humanity,ひゅーまにてぃ
hundred,はんどれっど
hunger,はんがー
hungry,はんぐりー
hurt,はーとびーと
hustler,はすらー
hype,はいぷ
hypocrisy,はいぽくらしー
ia,いあ
idea,あいであ
identify,あいでんてぃふぁい
if,いふ
ig,いぐ
ignition,いぐにしょん
ignore,いぐのあ
ii,あいあい
illchillilax,いりちらりあっくす
illusion,いりゅーじょん
image,いめーじ
imagination,いまじねーしょん
immigrants,いみぐらんつ
impact,いんぱくと
important,いんぽーたんと
impossible,いんぽっしぶる
improve,いんぷるーぶ
ina,いな
indeed,いんでぃーど
independent,いんでぃぺんでんと
individuality,いんでぃびじゅあり０
infamy,いんふぁみー
infuse,いんふゅーず
infusion,いんふゅーじょん
ing,いんぐ
inhibitions,いんひびしょんず
inject,いんじぇくと
inna,いな
innate,いねいと
innovative,いのべーしょん
insane,いんせいん
inside,いんさいど
insight,いんさいと
inspiration,いんすぴれーしょん
inspiring,いんすぱいありん
inst,いんすと
instinctively,いんすてぃんくてぃぶりー
interacting,いんたらくてぃん
interactions,いんたらくしょん
intertwine,いんたーわいん
into,いんとぅー
introduce,いんとろでゅーす
introduction,いんとろだくしょん
ipolani,いぽらに
iq,あいきゅー
ire,いあ
irie,いりー
iron,あいあん
irrational,いらしょなる
island,あいらんど
islands,あいらんず
isquotnever,いずねばー
istory,いすとりー
it,いっと
its,いっつ
jah,じゃー
jam,じゃむ
jamaica,じゃまいか
jamboree,じゃんぼれー
jammin,なみん
jams,じゃむず
japan,じゃぱん
japanquot,じゃぱん
jawai,じゃわい
jawaii,じゃわい
jawaiian,じゃわいあん
jay,じぇい
jazz,じゃず
jb,じぇいびー
jesus,じーざす
job,じょぶ
jodan,じょーだん
join,じょいん
joint,じょいんと
joker,じょーかー
journey,じゃーにー
joy,じょいん
jr,じゅにあ
judge,じゃっじ
judgement,じゃっじめんと
judgments,じゃっじめんつ
juggler,じゃぐらー
jumpin,じゃんぴん
jumping,じゃんぴん
june,じゅーん
jungle,じゃんぐる
junky,じゃんきー
juvenile,じゅびないる
k,けー
ka,か
kaikamahine,かいかまひね
kakou,かこう
kale,かーる
karmic,かーみっく
ke,けー
keep,きーぷ
keepin,きーぴん
keeping,きーぴん
keeps,きーぷす
ken,けん
kengt,けんぐ
kenty,けんてぃ
kept,けぷと
key,きーぴん
kick,きっく
killer,きらー
kills,きるず
kind,かいんど
kinda,きんだ
king,きんぐ
kingdoms,きんぐだむず
