go,ごー
kingquot,きんぐ
kings,きんぐす
kiss,きす
kkaha,かは
klucci,くらっち
kluch,くらっち
klutch,くらっち
klutchamp,くらっちちゃんぷ
klutchamptenn,くらっちちゃんぷ
knees,にーず
knew,にゅー
knock,のっく
know,のう
known,のうん
knows,のうず
ko,けーおー
kohno,こーの
krazy,くらじー
ktm,けーてぃーえむ
kuhihewa,くひへわ
l,える
la,ら
lack,らっく
ladies,れでぃーす
ladiesampgentlemen,れでぃーすあんどじぇんとるめん
ladys,れでぃーす
ladysah,れでぃさー
lala,らら
lalala,ららら
lalalala,らららら
lalalalala,ららららら
lame,れいむ
land,らんど
lani,らに
last,らすと
later,れいたー
laugh,らふ
laulea,れうりー
layer,れいやー
layers,れいやーず
lays,れいず
ldk,えるでぃーけー
lead,りーど
leading,りーでぃんぐ
leaf,りーふ
learn,りーん
learning,らーにんぐ
least,りーすと
leave,りーぶ
leeway,りーうぇい
left,れふと
legend,れじぇんど
leon,れおん
lesson,れっすん
lessons,れっすんず
let,れっと
lets,れっつ
level,れべる
lick,りっく
lies,らいず
lifequot,らいふ
lift,りふと
liftin,りふてぃん
light,らいと
lightness,らいとねす
lights,らいつ
like,らいく
limit,りみっと
lion,らいおん
lip,りっぷ
listen,りっすん
little,りとる
live,らいぶ
lives,らいぶす
livin,りびん
living,りびん
ll,えるえる
loaded,ろーでっど
lock,ろっく
locked,ろっくと
lokahi,ろかひ
lon,ろん
loneliness,ろんりねす
lonely,ろんりー
long,ろんぐ
longer,ろんがー
look,るっく
lookin,るっきん
loops,るーぷす
loose,るーず
lorry,ろーりー
lose,るーず
loss,ろす
lost,ろすと
loud,らうど
love,らぶ
lovebig,らぶびっぐ
loved,らぶど
lovequot,らぶ
lover,らばー
lovin,らびん
loving,らびん
low,ろーでっど
lowtone,ろーとーん
lt,えるてぃー
ltbuccigt,えるてぃーぶっち
lthgt,らいと
ltklutch,とくるっち
ltklutchgt,とくるっち
ltltbig,つちびっぐ
lttennbuccigt,りってぃんぶっち
lttenngt,りってんと
luck,らっく
lucky,らっきー
luv,らぶ
luxury,らぐじゅりー
lylic,りりっく
lyrical,りりかる
lyrics,りりっくす
m,えむ
macro,まくろ
mad,まっど
made,めいど
magically,まじかりー
magician,まじしゃん
magnify,まぐにふぁい
mago,まご
mahalo,まはろ
mai,まい
mail,めーる
maiming,めいみんぐ
make,めいく
maker,メーカー
makes,メークス
makin,マーキン
making,メーキング
malama,マラマ
mama,ママ
man,マン
mana,マナ
mango,マンゴ
manifestation,マニフェテーション
manu,マヌ
many,メニー
march,マーチ
marcy,マーシー
mark,マーク
marley,マーレー
mars,マーズ
marvelous,マーベラス
maschine,マシーン
mass,マス
massive,マッシブ
master,マスター
mata,マタ
matenal,マテナル
matter,マター
mau,マウ
max,マックス
may,メイ
maybe,メイビー
mayway,メイウェイ
mc,エムシー
mcs,エムシーズ
md,エムディー
me,ミー
mean,ミーン
meanin,ミーニン
meaning,ミーニング
meant,メント
meet,ミート
meets,ミーツ
mele,メレ
mellow,メロー
melody,メロディー
melt,メルト
member,メンバー
memories,メモリーズ
men,メン
mens,メンズ
mentor,メンター
merely,メアリー
merry,メリー
message,メッセージ
messages,メッセージズ
met,メット
mi,ミー
mic,ミック
micro,ミクロ
microphone,マイクロフォン
might,マイト
mile,マイル
mind,マインド
minds,マインズ
minmi,ミンミ
minute,ミニット
mirror,ミラー
miss,ミス
missed,ミスト
mistakes,ミステーク
misunderstood,ミスアンダーステュッド
mix,ミックス
mixing,ミキシング
mixture,ミクスチャ
mj,エムジェー
mm,エムエム
moment,モーメント
momentary,モメンタリー
moments,モーメンツ
monday,マンデー
money,マネー
monkey,モンキー
months,マンス
moon,ムーン
moonlight,ムーンライト
moonlit,ムーンライト
moonrise,ムーンライズ
moonshine,ムーンシャイン
moovin,ムービン
most,モスト
mother,マザー
motivations,モチベーション
mountain,マウンテン
mouth,マウス
move,ムーブ
moves,ムーブズ
movie,ムービー
movin,ムービン
moving,ムービング
mr,ミスター
mrzeebra,ミスタージーブラ
much,マッチ
muku,ムク
murder,マーダー
mush,ムッシュ
music,ミュージック
must,マスト
myself,マイセルフ
mystic,ミスティック
n,エヌ
na,ナ
naked,ネーキッド
nalu,ナル
name,ネーム
named,ネームド
natural,ナチュラル
naturally,ナチュラリー
nature,ネーチャー
navigate,ナビゲート
nd,エヌディー
ndlessyeah,ンドレッシャー
near,ネアー
negative,ネガティブ
negativity,ネガティブリー
nesian,ネジアン
never,ネバー
new,ニュー
next,ネクスト
niagara,ナイアガラ
night,ナイト
nights,ナイツ
nike,ナイキ
nobody,ノーバディ
non,ノン
nonfiction,ノンフィクション
nonstop,ノンストップ
normal,ノーマル
north,ノース
nos,ノス
not,ノット
note,ノート
nothin,ノーティン
nothing,ナッシン
november,ノーベンバー
now,ナウ
nowhere,ノーウェア
nspinnin,ンスピニン
nth,エヌス
nuku,ヌク
number,ナンバー
nyc,ニク
o,オー
obstacle,オブスタクル
occur,オカー
ocean,オーシャン
october,オクトーバー
of,オブ
off,オフ
ohana,オハナ
ohload,オーロード
ohohoh,オホホー
ohohohoh,オホホホー
ohyeahoh,オーイェーホー
oi,オイ
ok,オーケー
okaman,オカマン
ol,オイ
oleole,オレオレ
omg,オーマイガー
on,オン
once,ワンス
one,ワン
oneday,ワンデー
onelife,ワンライフ
oneman,ワンマン
onemic,ワンミック
ones,ワンズ
only,オンリー
ono,オノ
ont,オント
onwon,オンウォン
ooh,オー
open,オープン
openin,オープニン
opposition,オポシション
or,オア
original,オリジナル
origination,オリジネーション
other,アザー
others,アザーズ
our,アワー
ourselves,アワセルブズ
out,アウト
outh,オース
outside,アウトサイド
over,オーバー
overground,オーバーグラウンド
own,オウン
ozma,オズマ
pa,パ
pace,ペース
pacific,パシフィック
pack,パック
paddle,パドル
pain,ペイン
painless,ペインレス
panic,パニック
pants,パンツ
papa,パパ
paradise,パラダイス
part,パート
partyparty,パーティパーティ
passa,パッサ
passed,パッスト
passing,パッシン
passion,パッション
past,パスト
path,パス
pawns,ポーンズ
pay,ペイ
payback,ペイバック
pc,ピーシー
peace,ピース
peacebig,ピースビッグ
peak,ピーク
pearl,パール
peel,ピール
peep,ピープ
peeterman,ピーターマン
people,ピープル
perception,パーセプション
perceptions,パーセプションズ
perfect,パーフェクト
performer,パフォーマー
persist,パーシスト
perspective,パースペクティブ
phrase,フレーズ
pickin,ピッキン
pickny,ピッキー
pioneerin,パイオニアリン
pitch,ピッチ
pity,ピティー
places,プレース
plan,プラン
play,プレー
playback,プレーバック
played,プレード
player,プレーヤー
please,プリーズ
plight,プライト
plot,プロット
ploy,プロイ
plus,プラス
plusminus,プラスマイナス
poetry,ポエトリー
poi,ポイ
poli,ポリ
pollution,ポリューション
ponde,ポンド
pono,ポノ
popping,ポッピン
portray,ポートレー
positive,ポジティブ
possessive,ポゼッシブ
possibilities,ポッシビリティー
pouring,ポーリン
powerful,パワフル
precious,プレシャス
prejudicial,プレジャディシャル
prerogative,プレロゲーティブ
presence,プレゼンス
presently,プレゼントリー
pressure,プレッシャー
prety,プリティー
previous,プリビアス
price,プライス
problem,プロブレム
problems,プロブレムズ
project,プロジェクト
projecting,プロジェクティング
promoter,プロモーター
protect,プロテクト
proud,プラウド
prove,プルーブ
provides,プロバイズ
proving,プルービン
prowl,プロール
ptsd,ピーティーエスディー
puana,プアナ
pull,プル
pulled,プルド
pum,パム
punk,パンク
pure,ピュア
purpose,パーパス
pursue,パースー
push,プッシュ
pushing,プッシン
pussy,プッシー
put,プット
qt,キューティー
qualities,クオンタイルス
quality,クオリティー
queens,クイーンズ
quick,クイック
quit,クイット
quot,クオト
quotaquot,クオタクオト
quotbeautiful,クオトビューティフル
quotboom,クオトブーン
quotboomquot,クオトブーンクオト
quotcome,クオトカム
quotdancehall,クオトダンスホール
quothitquotno,クオトヒットクオトナンバー
quoti,クオティ
quotjokerquot,クオティジョーカークオト
quotlovequot,クオタクオト
quotmade,クオトメード
quotmoneyquot,クオトマネークオト
quotmr,クオトミスター
quotmusical,クオトミュージカル
quotno,クオトナンバー
quotone,クオトネ
quotraggamuffinquot,クオトタラガムッフィンクオト
quotroots,クオトルーツ
quotthank,クオトハンク
radio,ラジオ
ragamuffin,ラガマッフィン
ragga,ラガ
raggae,レゲー
raggaquot,ラガクオト
rah,ラー
raid,レイド
rain,レイン
rainbow,レインボー
rainy,レイニー
raise,レイズ
rampb,ラム
ran,ラン
random,ランダム
range,レンジ
ranger,レンジャー
ranker,ランカー
rankreggae,ランクレゲー
rap,ラップ
rapping,ラッピン
rare,レア
rasta,ラスタ
ray,レイ
razy,レイジー
re,リ
reach,リーチ
react,リアクト
reaction,リアクション
realer,リーラー
reality,リアリティー
realize,リアライズ
realizing,リアライジング
really,リアリティー
reason,リーズン
reciprocate,レシプロケート
recline,リクライン
red,レッド
reflecting,リフレクティング
reflections,リフレクション
reggaequot,レゲークオト
regret,リグレット
relate,リレート
relation,リレーション
relax,リラックス
release,リリース
relinquishing,リリンクイッシング
relive,リライブ
remedy,レメディー
remember,リメンバー
remenber,リメンバー
remote,リモート
rep,レップ
repair,リペアー
repeat,リピート
represent,リプレゼント
rescue,レスキュー
resistant,レジスタント
resolution,レゾリューション
respect,リスペクト
rest,レスト
restraints,リストレインツ
return,リターン
revealing,リビーリン
revelations,リベレーションズ
revenge,リベンジ
reverse,リバース
revive,リバイブ
revolution,レボリューション
rhyme,ライム
rhymer,ライマー
rhymes,ライムス
rhythm,リズム
rice,ライス
rich,リッチ
riding,ライディング
riend,リンド
ring,リング
rip,リップ
ripped,リップト
rise,ライズ
rises,ライジズ
rising,ライジング
risk,リスク
rize,ライズ
rizin,ライジン
rizon,リゾン
road,ロード
roaming,ローミング
robot,ロボット
rode,ロード
role,ロール
roll,ロール
roller,ローラー
rolling,ローリング
romance,ロマンス
rome,ローム
roop,ロープ
roots,ルーツ
roove,ルーブ
roses,ロゼズ
rot,ロット
round,ラウンド
route,ルート
routine,ルーチン
rub,ラブ
rubadub,ラバダブ
rude,ルード
rudeboy,ルードボーイ
rudie,ルーディー
rudy,ルーディー
ruff,ラフ
rule,ルール
ruler,ルーラー
rumblin,ランビン
runnin,ランニン
running,ランニング
runway,ラナウェー
ryder,ライダー
ryo,リョー
ryoji,リョージ
sad,サッド
said,セイド
saidquothiquot,セイドクオトクオト
salute,サルト
same,セーム
samurai,サムライ
sand,サンド
sane,セーン
satisfaction,サティスファクション
satomik,サトミック
saturday,サタデー
saw,ソー
sayin,セーイン
saying,セーイング
sayingquotwassup,セーイングクオトワッサップ
sayyeah,セイイェー
scar,スカー
scared,スカード
scatter,スキャッター
scene,シーン
scratch,スクラッチ
script,スクリプト
scrub,スクラブ
sea,シー
search,サーチ
searching,サーチング
season,シーズン
seat,シート
second,セコンド
secret,シークレット
secrets,シークレッツ
see,シー
seed,シード
seeing,シーイング
seems,シームズ
seen,シーン
seize,シーズ
selector,セレクター
self,セルフ
sender,センダー
sendin,センディン
sending,センディング
sensation,センセーション
separated,セパレーテッド
sequence,シークエンス
seriously,シリアスリー
session,セッション
set,セット
sets,セッツ
settin,セッティン
settling,セッティング
sex,セックス
sexy,セクシー
sha,シャ
shaaaaaaaaaaaaaaaaaa,シャー
shaking,シェーキング
shalala,シャララ
shalalalalalila,シャラララララ
shall,シャル
shape,シェープ
share,シェア
sharing,シェアリング
shen,シェン
shift,シフト
shiftin,シフティン
shine,シャイン
shines,シャインズ
shinin,シャイニン
shining,シャイニング
shiny,シャイニー
shit,シット
shock,ショック
shockeye,ショックアイ
shonan,ショーナン
shooting,シューティン
short,ショート
shot,ショット
should,シュッド
shout,シャウト
show,ショウ
showing,ショウイン
shows,ショウズ
sht,シット
shy,シャイ
side,サイド
sides,スライズ
sigh,ザイ
sight,サイト
sights,サイツ
sign,サイン
silencesilence,サイレンスサイレンス
silent,サイレント
simple,シンプル
since,シンス
sing,シング
singer,シンガー
singin,シンギン
singing,シンギング
sir,サー
sistahs,シスターズ
sister,シスター
sit,シット
sitting,シッティン
situation,シチュエーション
six,シックス
size,サイズ
ska,スカー
skank,スカンク
skies,スキーズ
skype,スカイプ
slave,スレーブ
slowly,スローリー
smack,スマック
small,スモール
smile,スマイル
smiles,スマイルズ
smiling,スマイリング
smilling,スマイリング
smoking,スモーキング
soaring,ソアリング
society,ソサエティ
sogo,ソゴ
soh,ソー
sold,ソルド
soldier,ソルジャー
solid,ソリッド
some,サム
somebody,サムバディー
someday,サムデー
someone,サムワン
somethin,サムシン
something,サムシング
sometimes,サムタイムズ
son,サン
song,ソング
sonpub,サンパブ
soon,スーン
sorrow,ソロー
sorry,ソーリー
sos,エスオーエス
soul,ソウル
soulbig,ソウルビッグ
souls,ソウルズ
sound,サウンド
soundbig,サウンドビッグ
source,ソース
south,サウス
space,スペース
spark,スパーク
sparks,スパークス
speak,スピーク
special,スペシャル
spectacles,スペクタクルス
speed,スピード
spell,スペル
spiral,スパイラル
spirit,スピリット
spirits,スピリッツ
spirt,スピリット
spit,スピット
spits,スピッツ
spliff,スピッフ
spot,スポット
spray,スプレー
spread,スプレッド
spreading,スプレッディング
spring,スプリング
squeeze,スクイーズ
st,セント
staff,スタッフ
stand,スタンド
standing,スタンディング
standup,スタンダップ
star,スター
stars,スターズ
start,スタート
started,スターテッド
starts,スターツ
station,ステーション
stay,ステイ
steady,ステディ
steering,ステアリング
step,ステップ
stepping,ステッピング
stereotypes,ステレオタイプス
still,スティル
stomp,ストンプ
stoney,ストニー
stop,ストップ
stopin,ストッピン
stops,ストップス
storm,ストーム
story,ストーリー
straight,ストレイト
strain,ストレイン
straining,ストレイニン
strategy,ストラテジ
streaming,ストリーミング
street,ストリート
streets,ストリーツ
strength,ストレンクス
stress,ストレス
strict,ストリクト
strike,ストライク
strive,ストライブ
stroll,ストロール
strong,ストロング
struggle,ストラグル
struggler,ストラグラー
strum,ストラム
style,スタイル
sublime,サブライム
succeeds,サクシーズ
success,サクセス
such,サッチ
suddenly,サドンリー
suffered,サファード
sumemr,サマー
summer,サマー
sun,サン
sunday,サンデー
sunrise,サンライズ
sunset,サンセット
sunshine,サンシャイン
sunshiny,サンシャイニー
support,サポート
supporter,サポーター
sure,シュア
surely,シュアリー
surf,サーフ
surface,サーフェス
surfer,サーファー
surrender,サレンダー
survival,サバイバル
survive,サバイブ
survives,サバイブズ
swear,スウェアー
sweet,スウィート
sweetest,スウィーテスト
swingin,スウィンギン
swirl,スウィール
symphony,シンフォニー
system,システム
t,ティー
table,テーブル
take,テーク
taken,テークン
takes,テークス
takin,テーキン
taking,テーキング
talk,トーク
talking,トーキン
tall,トール
tango,タンゴ
tap,タップ
taste,テースト
tears,ティアーズ
tech,テック
technique,テクニック
teeth,ティース
teethbrush,ティースブラッシュ
telling,テリング
tempo,テンポ
temptation,テンプテーション
tenn,テン
tennamp,テンナンプ
tensian,テンシャン
tep,テップ
terrorist,テロリスト
test,テスト
than,ザン
thank,サンク
that,ザット
thats,ザッツ
thatwon,ザットウォン
their,ゼア
them,ゼム
themselves,ゼムセルブズ
then,ゼン
there,ゼア
theres,ゼアーズ
these,ジーズ
they,ゼイ
things,シングス
think,シンク
thinking,シンキング
thinks,シンクス
thiswon,ディスウォン
those,ゾーズ
thought,ソート
thoughtful,ソートフル
thoughts,ソーツ
thousands,サウザンズ
three,スリー
through,スルー
throughout,スルアウト
throw,スロー
thug,サグ
thursday,サタデー
ticks,ティックス
tiger,タイガー
tight,タイト
till,ティル
timberland,ティンバーランド
times,タイムズ
timing,タイミング
ting,ティング
tis,ティス
tits,ティッツ
today,トゥデー
toes,トーズ
together,トゥギャザー
togetherride,トゥギャザーライド
toh,トー
tokio,トキオ
tokyo,トーキョー
told,トールド
tomorrow,トゥモロー
ton,トン
tonight,トゥナイト
too,トゥー
took,トゥック
totally,トータリー
tothe,トーヘ
tough,タフ
toward,トゥワード
tp,ティーピー
tq,ティーキュー
tqpt,ティーキューピーティー
tragedies,トラジェディーズ
travesties,トラヴェシティーズ
treasure,トレジャー
treasured,トレジャード
treble,トレブル
tree,ツリー
trees,ツリーズ
trends,トレンズ
triality,トリアリティー
trials,トライアルズ
tribe,トライブ
trick,トリック
tricks,トリックス
trip,トリップ
tropical,トロピカル
trot,トロット
true,トゥルー
truer,トゥルーアー
truly,トゥルーリー
trust,トラスト
truth,トゥルース
truthful,トゥルースフル
try,トライ
tuesday,テューズデー
tuff,タフ
tumbling,タンブリング
tun,タン
tunebig,チューンビッグ
turn,ターン
turning,ターニング
tv,ティービー
twice,トゥワイス
two,トゥー
type,タイプ
types,タイプス
u,ユー
ua,ユーエー
uchiaketekure,ウチアケテクレ
ufo,ユーフォー
uh,ウー
uhh,ウー
un,アン
unbelievable,アンビリーバブル
uncertain,アンサーテン
unconditional,アンコンディショナル
uncontrollable,アンコントローラブル
under,アンダー
underground,アンダーグラウンド
understand,アンダースタンド
understanding,アンダースタンディング
understood,アンダーステュッド
union,ユニオン
unite,ユナイト
unity,ユニティ
unknown,アンノウン
uno,ユーノ
until,アンティル
unu,ウヌ
unwind,アンワインド
upmake,アップメーク
upon,アポン
upquot,アップクオト
ups,アップス
uptight,アップライト
upwake,アップウェーク
urgency,アージェンシー
us,アス
use,ユーズ
vacation,バケーション
vain,ベイン
ve,ビーイー
verse,バース
very,ベリー
verybody,ベリバディ
vessel,ベッセル
vibe,バイブ
vibration,バイブレーション
vicariously,ビカリアスリ
victory,ビクトリー
view,ビュー
vip,ビップ
virtues,バーチュース
vision,ビジョン
visions,ビジョンズ
voice,ボイス
voicebig,ボイスビッグ
volare,ボラレ
volcano,ボルケーノ
w,ダブリュー
wack,ワック
wah,ワー
wahine,ワーハイン
waikiki,ワイキキ
wait,ウェイト
waiting,ウェイティング
waits,ウェイツ
wake,ウェーク
walk,ウォーク
walking,ウォーキング
walls,ウォールズ
wan,ワン
wanksta,ワンクスタ
wanna,ワナ
want,ウォント
wanted,ウォンテッド
wants,ウォンツ
war,ウォー
warmth,ワームース
warning,ワーニング
warrior,ウォーリアー
warrning,ワーニング
was,ワズ
wash,ウォッシュ
waste,ウェースト
watch,ウォッチ
water,ウォーター
waves,ウェーブズ
waving,ウェービング
wawa,ワワ
wayo,ワヨ
wayquot,ウェイクオト
wayquotare,ウェイクオト
wayquottake,ウェイクオト
ways,ウェイズ
we,ウィー
wealth,ウェルス
weapon,ウェポン
wear,ウィアー
wearchange,ウィアーチャージ
weather,ウェザー
weddy,ウェディー
wednesday,ウェンズデー
weekend,ウィークエンド
weight,ウェイト
welcome,ウェルカム
well,ウェル
went,ウェント
were,ワー
weren,ワレン
west,ウェスト
what,ワット
whatcha,ワッチャ
whatever,ワットエバー
whe,ウェ
when,ウェン
whenever,ウェンエバー
where,ウェア
wherever,ウェアエバー
which,ウィッチ
whichman,ウィッチマン
whine,ワイン
who,フー
whole,ホール
why,ワイ
wia,ウィア
wicked,ウィッキード
wide,ワイド
wifi,ワイファイ
wii,ウィー
wild,ワイルド
wilding,ワイルディング
wildwild,ワイルドワイルド
will,ウィル
win,ウィン
wind,ウィンド
winding,ワインディング
windows,ウィンドウズ
winey,ワイニー
winner,ウィナー
wish,ウィッシュ
wit,ウィット
with,ウィズ
within,ウィズイン
without,ウィズアウト
wo,ウォ
wocome,ウォカム
woh,ウォー
woi,ウォル
woman,ウーマン
women,ウィメン
won,ワン
wonder,ワンダー
wonderful,ワンダフル
wonderin,ワンダリン
woo,ウー
woogie,ウーギー
wooh,ウー
woooo,ウー
woowoowoo,ウーウーウー
word,ワード
words,ワーズ
work,ワーク
worries,ウォーリーズ
worry,ウォーリー
worst,ワースト
worthless,ワースレス
would,ウッド
wowow,ワウワウ
wowwow,ワウワウ
wrestle,レスティ
wrong,ロング
x,エックス
y,ワイ
yachts,ヨット
yah,ヤー
yamato,ヤマト
yang,ヤン
yeah,イェー
year,イヤー
years,イヤーズ
yeh,イェー
yellow,イェロー
yes,イェス
yeswe,イェスウィー
yet,イェット
yin,イン
yo,ヨ
youkeeping,ユーキーピング
young,ヤング
youquot,ユークオト
yours,ユアーズ
yourself,ユアセルフ
zaga,ザガ
zero,ゼロ
zone,ゾーン
zoo,ズー
zum,ザム
card,かーど
chage,ちゃげ
cruising,くるーじん
flower,ふらわー
green,ぐりーん
hid,ひっど
hooo,ふー
it,いっと
jan,じゃん
kara,から
karakara,からから
on,おん
race,れーす
tone,とーん
wowo,うぉうぉ
